analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,579.4393396162146,2766.6499396162144,1607.7712603837854,guard,2187.2106,queue_bytes_mean,5,2.7764451051977987,AliStorage2019
arm_mean,141.04341134404817,191.84341134404815,-90.24341134404817,guard,50.8,queue_bytes_p95,5,2.7764451051977987,AliStorage2019
arm_mean,32734.78074569389,124575.5807456939,59106.01925430611,guard,91840.8,queue_bytes_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,400020.0,400020.0,guard,400020.0,queue_sample_count,5,2.7764451051977987,AliStorage2019
arm_mean,48.72166753288652,169.92166753288652,72.47833246711349,guard,121.2,reactive_binding_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,48.72166753288652,169.92166753288652,72.47833246711349,guard,121.2,reactive_binding_updates,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,recovery_nacks_generated,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,recovery_nacks_received,5,2.7764451051977987,AliStorage2019
arm_mean,23.486822039836998,594.8868220398369,547.913177960163,guard,571.4,registrations,5,2.7764451051977987,AliStorage2019
arm_mean,23.486822039836998,594.8868220398369,547.913177960163,guard,571.4,selected_registrations,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_egress,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_ingress,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_total,5,2.7764451051977987,AliStorage2019
arm_mean,4.210687481992302,11.210687481992302,2.789312518007698,guard,7.0,tie_binding_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,34.90599964976318,387.5059996497632,317.6940003502368,guard,352.6,tie_binding_updates,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,timeout_recoveries,5,2.7764451051977987,AliStorage2019
arm_mean,4.979723322998673,55.757849515917194,45.79840286991985,homa,50.77812619291852,1BDP_to_1MB_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,13.427423805430388,161.06845380543038,134.21360619456962,homa,147.64103,1BDP_to_1MB_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,67.26782335781327,317.36517135781287,182.82952464218636,homa,250.0973479999996,1BDP_to_1MB_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,15.62228464041409,320.02228464041406,288.7777153595859,homa,304.4,1BDP_to_1MB_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.0798662476091261,1.4864998758038757,1.3267673805856235,homa,1.4066336281947496,1BDP_to_1MB_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.3808738739125388,3.1063119850542957,2.3445642372292186,homa,2.725438111141757,1BDP_to_1MB_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.9543736378332726,4.758286119263488,2.8495388435969433,homa,3.8039124814302157,1BDP_to_1MB_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.08441820092365403,9.133034018130253,8.964197616282945,homa,9.0486158172066,8KB_to_1BDP_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.30106199584116217,15.303471995841159,14.701348004158836,homa,15.002409999999998,8KB_to_1BDP_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.785332751991002,19.385458751991,17.814793248008993,homa,18.600125999999996,8KB_to_1BDP_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,51.2553123244592,2609.2553123244593,2506.7446876755407,homa,2558.0,8KB_to_1BDP_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.001661021356833831,1.0440572476525187,1.0407352049388512,homa,1.042396226295685,8KB_to_1BDP_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.015312672507751363,1.1730832985415407,1.1424579535260382,homa,1.1577706260337894,8KB_to_1BDP_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.053077209171281094,1.4046811019506509,1.2985266836080889,homa,1.3516038927793699,8KB_to_1BDP_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,completion_releases,5,2.7764451051977987,AliStorage2019
arm_mean,0.5552890210395597,4.355289021039559,3.2447109789604403,homa,3.8,elapsed_seconds,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,homa,9772.2,flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grant_binding_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grant_binding_updates,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grant_bytes_sent,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grant_event_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grants_received,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,homa,0.0,grants_sent,5,2.7764451051977987,AliStorage2019
arm_mean,22.21410955944233,243.18035248961124,198.75213337072657,homa,220.9662429301689,gt_1MB_fct_us_mean,5,2.7764451051977987,AliStorage2019
