analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,0.0056863757497586116,1.0460460338579403,1.0346732823584228,tail_ungated,1.0403596581081815,overall_slowdown_mean,5
arm_mean,0.024112696025444618,1.1746413025974793,1.1264159105465903,tail_ungated,1.1505286065720348,overall_slowdown_p95,5
arm_mean,0.18582386577542473,1.8739073172266882,1.5022595856758387,tail_ungated,1.6880834514512635,overall_slowdown_p99,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,pfc_pause_events,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,pfc_resume_events,5
arm_mean,30.439767084287176,391.43976708428715,330.56023291571285,tail_ungated,361.0,proactive_releases,5
arm_mean,183426.26476817927,540946.2647681793,174093.73523182073,tail_ungated,357520.0,queue_bytes_max,5
arm_mean,714.9095201824719,3547.743120182472,2117.924079817528,tail_ungated,2832.8336,queue_bytes_mean,5
arm_mean,2934.131108548317,11436.131108548318,5567.868891451682,tail_ungated,8502.0,queue_bytes_p95,5
arm_mean,21957.02667212605,109375.02667212606,65460.97332787395,tail_ungated,87418.0,queue_bytes_p99,5
arm_mean,0.0,160000.0,160000.0,tail_ungated,160000.0,queue_sample_count,5
arm_mean,34.577611473027225,72.57761147302722,3.4223885269727745,tail_ungated,38.0,reactive_binding_rate_changes,5
arm_mean,34.577611473027225,72.57761147302722,3.4223885269727745,tail_ungated,38.0,reactive_binding_updates,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,recovery_nacks_generated,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,recovery_nacks_received,5
arm_mean,30.439767084287176,391.43976708428715,330.56023291571285,tail_ungated,361.0,registrations,5
arm_mean,30.439767084287176,391.43976708428715,330.56023291571285,tail_ungated,361.0,selected_registrations,5
arm_mean,2.574769267929082,5.174769267929082,0.025230732070918194,tail_ungated,2.6,tie_binding_rate_changes,5
arm_mean,59.227502867635586,338.8275028676356,220.37249713236443,tail_ungated,279.6,tie_binding_updates,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,timeout_recoveries,5
arm_mean,4.891712245824523,54.698114258730435,44.91468976708139,tail_gate_r080_s2,49.80640201290591,1BDP_to_1MB_fct_us_mean,5
paired_percent,5.023934907729826,8.546557798656616,-1.5013120168030358,tail_gate_r080_s2_minus_tail_ungated,3.5226228909267903,1BDP_to_1MB_fct_us_mean,5
arm_mean,24.158187023915396,169.0089570239154,120.69258297608462,tail_gate_r080_s2,144.85077,1BDP_to_1MB_fct_us_p95,5
paired_percent,9.626155710340397,14.270299197499162,-4.982012223181632,tail_gate_r080_s2_minus_tail_ungated,4.644143487158765,1BDP_to_1MB_fct_us_p95,5
arm_mean,52.42028952399098,285.88500752399085,181.0444284760089,tail_gate_r080_s2,233.4647179999999,1BDP_to_1MB_fct_us_p99,5
paired_percent,20.359820346717527,28.999990897243205,-11.719649796191849,tail_gate_r080_s2_minus_tail_ungated,8.640170550525678,1BDP_to_1MB_fct_us_p99,5
arm_mean,11.890188969176341,205.69018896917635,181.90981103082368,tail_gate_r080_s2,193.8,1BDP_to_1MB_flow_count,5
paired_percent,0.0,0.0,0.0,tail_gate_r080_s2_minus_tail_ungated,0.0,1BDP_to_1MB_flow_count,5
arm_mean,0.06262093508993838,1.42020063789594,1.2949587677160634,tail_gate_r080_s2,1.3575797028060017,1BDP_to_1MB_slowdown_mean,5
