analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_pause_count,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_pause_events,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_resume_count,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_resume_events,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_unmatched_pauses,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_unmatched_resumes,5,2.7764451051977987,AliStorage30
arm_mean,12.00631945246779,221.00631945246778,196.99368054753222,guard,209.0,proactive_releases,5,2.7764451051977987,AliStorage30
arm_mean,37951.131153100745,232407.13115310075,156504.86884689925,guard,194456.0,queue_bytes_max,5,2.7764451051977987,AliStorage30
arm_mean,158.1386379103474,962.4404379103473,646.1631620896526,guard,804.3018,queue_bytes_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,queue_bytes_p95,5,2.7764451051977987,AliStorage30
arm_mean,5653.439929214428,27552.639929214427,16245.760070785573,guard,21899.2,queue_bytes_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.0,160000.0,160000.0,guard,160000.0,queue_sample_count,5,2.7764451051977987,AliStorage30
arm_mean,9.633904450585383,20.833904450585383,1.5660955494146158,guard,11.2,reactive_binding_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,9.633904450585383,20.833904450585383,1.5660955494146158,guard,11.2,reactive_binding_updates,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,recovery_nacks_generated,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,recovery_nacks_received,5,2.7764451051977987,AliStorage30
arm_mean,12.00631945246779,221.00631945246778,196.99368054753222,guard,209.0,registrations,5,2.7764451051977987,AliStorage30
arm_mean,12.00631945246779,221.00631945246778,196.99368054753222,guard,209.0,selected_registrations,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_egress,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_ingress,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,switch_drops_total,5,2.7764451051977987,AliStorage30
arm_mean,1.1105780420791194,1.5105780420791195,-0.7105780420791193,guard,0.4,tie_binding_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,41.053850883744616,201.2538508837446,119.14614911625537,guard,160.2,tie_binding_updates,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,timeout_recoveries,5,2.7764451051977987,AliStorage30
arm_mean,3.7385909179493195,48.062174008255404,40.58499217235677,homa,44.32358309030609,1BDP_to_1MB_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,3.70989384742323,112.42002384742324,105.00023615257678,homa,108.71013,1BDP_to_1MB_fct_us_p95,5,2.7764451051977987,AliStorage30
