analysis,workload,comparison,metric,n,mean,ci95_low,ci95_high,ci95_half_width
arm_mean,AliStorage2019,no_priority,guard_long_acks_suppressed,5,275271.4,255494.00510464987,295048.7948953502,19777.394895350142
arm_mean,AliStorage2019,no_priority,guard_min_share_fraction,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,guard_one_rtt_acks_suppressed,5,83281.8,81608.71330419388,84954.88669580613,1673.0866958061197
arm_mean,AliStorage2019,no_priority,guard_one_rtt_bypass_enabled,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_one_rtt_bypass_feedbacks,5,9165.2,9064.023810815957,9266.376189184044,101.17618918404409
arm_mean,AliStorage2019,no_priority,guard_one_rtt_bypass_flows,5,9165.2,9064.023810815957,9266.376189184044,101.17618918404409
arm_mean,AliStorage2019,no_priority,guard_rebalance_events,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,guard_remaining_aware,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_remaining_exponent,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_remaining_refresh_events,5,3705.6,3490.7372293747057,3920.462770625294,214.86277062529433
arm_mean,AliStorage2019,no_priority,guard_sender_srpt_enabled,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_sender_srpt_forced_rr,5,57.2,41.533368775575596,72.86663122442441,15.666631224424407
arm_mean,AliStorage2019,no_priority,guard_sender_srpt_non_rr,5,23678.4,19704.278234394547,27652.521765605456,3974.1217656054555
arm_mean,AliStorage2019,no_priority,guard_sender_srpt_selections,5,407906.4,385029.91876620345,430782.8812337966,22876.481233796578
arm_mean,AliStorage2019,no_priority,guard_srpt_quantum_packets,5,64.0,64.0,64.0,0.0
arm_mean,AliStorage2019,no_priority,guard_tail_bypass_bdps,5,8.0,8.0,8.0,0.0
arm_mean,AliStorage2019,no_priority,guard_tail_bypass_enabled,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_tail_bypass_feedbacks,5,22990.8,21275.406381595123,24706.193618404875,1715.3936184048773
arm_mean,AliStorage2019,no_priority,guard_tail_bypass_flows,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,no_priority,hpcc_actual_rate_changes,5,180.4,110.39943699954325,250.40056300045677,70.00056300045675
