workload,seed,arm,metric,value
AliStorage2019,11,no_priority,8KB_to_1BDP_fct_us_mean,10.854800307810697
AliStorage2019,11,no_priority,8KB_to_1BDP_fct_us_p95,25.6493
AliStorage2019,11,no_priority,8KB_to_1BDP_fct_us_p99,35.38049999999999
AliStorage2019,11,no_priority,8KB_to_1BDP_flow_count,2599.0
AliStorage2019,11,no_priority,8KB_to_1BDP_slowdown_mean,1.2245030205891192
AliStorage2019,11,no_priority,8KB_to_1BDP_slowdown_p95,2.3531883145594286
AliStorage2019,11,no_priority,8KB_to_1BDP_slowdown_p99,3.2983607926887784
AliStorage2019,11,no_priority,aggregate_goodput_gbps,171.83396030709307
AliStorage2019,11,no_priority,completion_releases,0.0
AliStorage2019,11,no_priority,completion_span_us,20053.205
AliStorage2019,11,no_priority,grant_binding_rate_changes,3.0
AliStorage2019,11,no_priority,grant_binding_updates,85.0
AliStorage2019,11,no_priority,grant_bytes_sent,517094.0
AliStorage2019,11,no_priority,grant_event_rate_changes,1611.0
AliStorage2019,11,no_priority,grants_received,5501.0
AliStorage2019,11,no_priority,grants_sent,5501.0
AliStorage2019,11,no_priority,gt_1MB_fct_us_mean,239.37974172185432
AliStorage2019,11,no_priority,gt_1MB_fct_us_p95,505.1565
AliStorage2019,11,no_priority,gt_1MB_fct_us_p99,615.5350000000001
AliStorage2019,11,no_priority,gt_1MB_flow_count,151.0
AliStorage2019,11,no_priority,gt_1MB_slowdown_mean,1.7292411511065775
AliStorage2019,11,no_priority,gt_1MB_slowdown_p95,3.3782827988606776
AliStorage2019,11,no_priority,gt_1MB_slowdown_p99,3.79406311076644
AliStorage2019,11,no_priority,guard_ack_interval_packets,8.0
AliStorage2019,11,no_priority,guard_adaptive_grant_updates,0.0
AliStorage2019,11,no_priority,guard_fixed_window,1.0
AliStorage2019,11,no_priority,guard_grant_refresh_bdps,1.0
AliStorage2019,11,no_priority,guard_long_acks_suppressed,299146.0
AliStorage2019,11,no_priority,guard_min_share_fraction,0.0
AliStorage2019,11,no_priority,guard_one_rtt_acks_suppressed,83733.0
AliStorage2019,11,no_priority,guard_one_rtt_bypass_enabled,1.0
AliStorage2019,11,no_priority,guard_one_rtt_bypass_feedbacks,9130.0
AliStorage2019,11,no_priority,guard_one_rtt_bypass_flows,9130.0
AliStorage2019,11,no_priority,guard_rebalance_events,0.0
AliStorage2019,11,no_priority,guard_remaining_aware,1.0
AliStorage2019,11,no_priority,guard_remaining_exponent,1.0
AliStorage2019,11,no_priority,guard_remaining_refresh_events,3947.0
AliStorage2019,11,no_priority,guard_sender_srpt_enabled,1.0
AliStorage2019,11,no_priority,guard_sender_srpt_forced_rr,68.0
AliStorage2019,11,no_priority,guard_sender_srpt_non_rr,27679.0
AliStorage2019,11,no_priority,guard_sender_srpt_selections,435617.0
AliStorage2019,11,no_priority,guard_srpt_quantum_packets,64.0
AliStorage2019,11,no_priority,guard_tail_bypass_bdps,8.0
AliStorage2019,11,no_priority,guard_tail_bypass_enabled,1.0
AliStorage2019,11,no_priority,guard_tail_bypass_feedbacks,24903.0
AliStorage2019,11,no_priority,guard_tail_bypass_flows,593.0
AliStorage2019,11,no_priority,hpcc_actual_rate_changes,236.0
AliStorage2019,11,no_priority,hpcc_fast_computations,0.0
AliStorage2019,11,no_priority,hpcc_feedback_updates,2885.0
AliStorage2019,11,no_priority,hpcc_full_computations,721.0
AliStorage2019,11,no_priority,hpcc_rate_updates_applied,721.0
AliStorage2019,11,no_priority,hpcc_valid_feedback,826.0
AliStorage2019,11,no_priority,int_hops_after_strip,58126.0
AliStorage2019,11,no_priority,int_hops_before_strip,110864.0
AliStorage2019,11,no_priority,int_records_stripped,52738.0
AliStorage2019,11,no_priority,irn_nacks_generated,0.0
AliStorage2019,11,no_priority,irn_nacks_received,0.0
AliStorage2019,11,no_priority,irn_retransmit_bytes,0.0
AliStorage2019,11,no_priority,irn_retransmit_packets,0.0
AliStorage2019,11,no_priority,le_8KB_fct_us_mean,8.424412838545564
AliStorage2019,11,no_priority,le_8KB_fct_us_p95,20.554899999999986
AliStorage2019,11,no_priority,le_8KB_fct_us_p99,32.34806000000002
AliStorage2019,11,no_priority,le_8KB_flow_count,6683.0
AliStorage2019,11,no_priority,le_8KB_slowdown_mean,1.1948941289295398
AliStorage2019,11,no_priority,le_8KB_slowdown_p95,2.3667399052097324
AliStorage2019,11,no_priority,le_8KB_slowdown_p99,3.6924049790729354
AliStorage2019,11,no_priority,long_to_small_slowdown_mean_ratio,1.4471919388002508
AliStorage2019,11,no_priority,max_active_flows,4.0
AliStorage2019,11,no_priority,overall_fct_us_mean,14.124615447907024
AliStorage2019,11,no_priority,overall_fct_us_p95,29.1055
AliStorage2019,11,no_priority,overall_fct_us_p99,182.47804000000292
AliStorage2019,11,no_priority,overall_flow_count,9723.0
AliStorage2019,11,no_priority,overall_slowdown_mean,1.2220107444146213
AliStorage2019,11,no_priority,overall_slowdown_p95,2.4316589777374773
AliStorage2019,11,no_priority,overall_slowdown_p99,3.6238324557921624
AliStorage2019,11,no_priority,pfc_pause_events,0.0
AliStorage2019,11,no_priority,pfc_resume_events,0.0
AliStorage2019,11,no_priority,proactive_releases,593.0
AliStorage2019,11,no_priority,queue_bytes_max,548052.0
AliStorage2019,11,no_priority,queue_bytes_mean,3833.141
AliStorage2019,11,no_priority,queue_bytes_p95,2180.0
AliStorage2019,11,no_priority,queue_bytes_p99,136880.0
AliStorage2019,11,no_priority,queue_sample_count,400020.0
AliStorage2019,11,no_priority,reactive_binding_rate_changes,220.0
AliStorage2019,11,no_priority,reactive_binding_updates,220.0
AliStorage2019,11,no_priority,recovery_nacks_generated,0.0
AliStorage2019,11,no_priority,recovery_nacks_received,0.0
AliStorage2019,11,no_priority,registrations,593.0
AliStorage2019,11,no_priority,selected_registrations,593.0
AliStorage2019,11,no_priority,tie_binding_rate_changes,13.0
AliStorage2019,11,no_priority,tie_binding_updates,416.0
AliStorage2019,11,no_priority,timeout_recoveries,0.0
AliStorage2019,11,no_srpt,1BDP_to_1MB_fct_us_mean,51.7300724137931
AliStorage2019,11,no_srpt,1BDP_to_1MB_fct_us_p95,158.61890000000022
AliStorage2019,11,no_srpt,1BDP_to_1MB_fct_us_p99,304.01251000000013
AliStorage2019,11,no_srpt,1BDP_to_1MB_flow_count,290.0
AliStorage2019,11,no_srpt,1BDP_to_1MB_slowdown_mean,1.3480621478837835
AliStorage2019,11,no_srpt,1BDP_to_1MB_slowdown_p95,2.2865941429202783
AliStorage2019,11,no_srpt,1BDP_to_1MB_slowdown_p99,3.7120173490186144
AliStorage2019,11,no_srpt,8KB_to_1BDP_fct_us_mean,9.11483262793382
AliStorage2019,11,no_srpt,8KB_to_1BDP_fct_us_p95,15.045599999999999
AliStorage2019,11,no_srpt,8KB_to_1BDP_fct_us_p99,19.429579999999998
